"block_number","contract_address","base_fees","transaction_count","base_fees_256"
12965000,"0xfc7a4c74bed0d761b9dc648f8730738d1449333a",88132000000000,1.0,88132000000000
12965000,"0xff20817765cb7f73d4bde2e66e067e58d11095c2",108048000000000,2.0,108048000000000
12965001,"0x0000006daea1723962647b7e189d311d757fb793",305003525836284,2.0,305003525836284
12965001,"0x0239d3a3485ec54511bee9d77d92695e443bf060",52739616463182,1.0,52739616463182
12965001,"0x02aa731631c6d7f8241d74f906f5b51724ab98f8",593818764713988,1.0,593818764713988
12965001,"0x03df236eacfcef4457ff7d6b88e8f00823014bcd",156588771015468,1.0,156588771015468
12965001,"0x03f7724180aa6b939894b5ca4314783b0b36b329",184834463090244,1.0,184834463090244
12965001,"0x083bf18e69b889be1cedb377cce8cf8aedd8df42",53116480683552,1.0,53116480683552
12965001,"0x0ebdc65e7e9132cb41ac5cbd0101b799d7adb475",198416199605250,1.0,198416199605250
12965001,"0x11111112542d85b3ef69ae05771c2dccff4faa26",520275118318560,2.0,520275118318560
12965001,"0x1751acb6486f904b4dca82dca76d69c96dfefd8c",226737264524100,1.0,226737264524100
12965001,"0x18d4db77f362557563051821952c9ae32a403ab8",110943201637818,1.0,110943201637818
12965001,"0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2",3318658449803466,16.0,3318658449803466
12965001,"0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e",183935613800466,1.0,183935613800466
12965001,"0x25121eddf746c884dde4619b573a7b10714e2a36",285696828075120,1.0,285696828075120
12965001,"0x285f9802bccc0a18491ecf5fce6f7cb3bd5f4da9",49027222650582,1.0,49027222650582
12965001,"0x3155ba85d5f96b2d030a4966af206230e46849cb",52317753529932,1.0,52317753529932
12965001,"0x3593d125a4f7849a1b059e64f4517a86dd60c95d",135144634392504,4.0,135144634392504
12965001,"0x3b242c9f4df26b8f5ae59e5fdc49d1af9f24c798",222400513570290,1.0,222400513570290
12965001,"0x3fe65692bfcd0e6cf84cb1e7d24108e434a7587e",197836841176920,1.0,197836841176920
12965001,"0x419d0d8bdd9af5e606ae2232ed285aff190e711b",74738362222392,1.0,74738362222392
12965001,"0x43b31c04bae2fe534ce324c6a5ac1f38fb8e09d8",39767612507700,1.0,39767612507700
12965001,"0x487502f921ba3dadacf63dbf7a57a978c241b72c",1182583049003730,1.0,1182583049003730
12965001,"0x491d6b7d6822d5d4bc88a1264e1b47791fd8e904",1121670541313718,21.0,1121670541313718
12965001,"0x4976fb03c32e5b8cfe2b6ccb31c09ba78ebaba41",65274007935906,1.0,65274007935906
12965001,"0x4bf681894abec828b212c906082b444ceb2f6cf6",1060364294886006,1.0,1060364294886006
12965001,"0x4c91e6485651fbdc347af476e350e52d1b818408",315749218472028,1.0,315749218472028
12965001,"0x57e1557abdc9e24aabf6a2187c90b65792543789",310214376787788,1.0,310214376787788
12965001,"0x639ae8f3eed18690bf451229d14953a5a5627b72",67732062626976,1.0,67732062626976
12965001,"0x6b6a4eaba8ba12765df51a859c0fa75894817f5a",222031524124674,1.0,222031524124674
12965001,"0x6d19b2bf3a36a61530909ae65445a906d98a2fa8",116930280386502,1.0,116930280386502
12965001,"0x767fe9edc9e0df98e07454847909b5e959d7ca0e",54852306032898,1.0,54852306032898
12965001,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d",1676071558512648,8.0,1676071558512648
12965001,"0x7be8076f4ea4a4ad08075c2508e481d6c946d12b",2549408828023332,15.0,2549408828023332
12965001,"0x81a524d2efbd53f1b4ebe3fc02e48d847933130d",269049554245164,1.0,269049554245164
12965001,"0x82458d1c812d7c930bb3229c9e159cbabd9aa8cb",940007362513692,6.0,940007362513692
12965001,"0x838bf9e95cb12dd76a54c9f9d2e3082eaf928270",231567876351768,1.0,231567876351768
12965001,"0x881d40237659c251811cec9c364ef91dc08d300c",299751051075366,1.0,299751051075366
12965001,"0x8b78b3254332010da92686d389599ca763ca54eb",350536598431734,1.0,350536598431734
12965001,"0x8c15ef5b4b21951d50e53e4fbda8298ffad25057",54711685055148,1.0,54711685055148
12965001,"0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24",53090606423646,1.0,53090606423646
12965001,"0x8f45ef92c15b266eb352e8430ff31fc5a00a4c76",54189699985740,1.0,54189699985740
12965001,"0x90d57c386e6403bf3473a1001d248d43eb85f84d",285191717523042,2.0,285191717523042
12965001,"0x93f8d746c8370154a8a717fefa3fa6e926f0be96",52372876953210,1.0,52372876953210
12965001,"0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7",223075494263490,1.0,223075494263490
12965001,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",210100115404542,3.0,210100115404542
12965001,"0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c",70368987201744,2.0,70368987201744
12965001,"0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb",47975377737012,1.0,47975377737012
12965001,"0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4",54962552879454,1.0,54962552879454
12965001,"0xb8169f6d97c66c50ef27b7b1b3fb2875d2b036a4",341357985972036,3.0,341357985972036
12965001,"0xbb97e381f1d1e94ffa2a5844f6875e6146981009",500279940250332,7.0,500279940250332
12965001,"0xbecac968e0581789b5f1862f7b56722c705e3527",159436064572950,1.0,159436064572950
12965001,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2",34203521660088,1.0,34203521660088
12965001,"0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25",52575371161170,1.0,52575371161170
12965001,"0xd152f549545093347a162dce210e7293f1452150",1833263312280708,1.0,1833263312280708
12965001,"0xd48c6a5c3046a29a57dad9b6453769c674b7d22f",192279500136240,8.0,192279500136240
12965001,"0xd54f502e184b6b739d7d27a6410a67dc462d69c8",287745394478982,2.0,287745394478982
12965001,"0xd91b06ce5a57d271f605bd58d31184b670032145",122655241632660,1.0,122655241632660
12965001,"0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f",217234661331666,1.0,217234661331666
12965001,"0xdac17f958d2ee523a2206206994597c13d831ec7",494500980548718,9.0,494500980548718
12965001,"0xdef1c0ded9bec7f1a1670819833240f027b25eff",559330626194934,2.0,559330626194934
12965001,"0xe1ecff44e00da83c1bca98e58ccd5e0dedeeb972",328311734140302,1.0,328311734140302
12965001,"0xe592427a0aece92de3edee1f18e0157c05861564",1114580994099474,7.0,1114580994099474
12965001,"0xe66b31678d6c16e9ebf358268a790b763c133750",174701877917490,1.0,174701877917490
12965001,"0xee4458e052b533b1aabd493b5f8c4d85d7b263dc",30193011374658,1.0,30193011374658
12965001,"0xf02cb50c0af9d4eaf25e9b039b913d7ee21e0980",195561031273014,1.0,195561031273014
12965001,"0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b",52291879270026,1.0,52291879270026
12965001,"0xf3ae5d769e153ef72b4e3591ac004e89f48107a1",59792039739300,1.0,59792039739300
12965001,"0xf5320c0bb7cd2723f42fde6909c23b98a0f6918f",6501092296105308,43.0,6501092296105308
12965001,"0xf5c9f957705bea56a7e806943f98f7777b995826",122605743048492,1.0,122605743048492
12965001,"0xf8a4a419c2d7140e49ef952a7e7ae1bd4a8b6b9c",52477498960656,1.0,52477498960656
12965001,"0xf915bbfbb6c097dc327e64eec55e9ef4d110d627",56760251459010,1.0,56760251459010
12965001,"0xfaaa7460ed59c12e204349766ce73cf5202e6ad6",198227205011154,1.0,198227205011154
12965001,"0xfbddadd80fe7bda00b901fbaf73803f2238ae655",156811514644224,1.0,156811514644224
12965002,"0x03f7724180aa6b939894b5ca4314783b0b36b329",414816241255221,9.0,414816241255221
12965002,"0x043c308bb8a5ae96d0093444be7f56459f1340b1",377346224679411,9.0,377346224679411
12965002,"0x07306acccb482c8619e7ed119daa2bdf2b4389d0",348300318213198,1.0,348300318213198
12965002,"0x0d8775f648430679a709e98d2b0cb6250d2887ef",59542020260892,1.0,59542020260892
12965002,"0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2",6016660911875497,28.0,6016660911875497
12965002,"0x1bd435f3c054b6e901b7b108a0ab7617c808677b",269013459430443,1.0,269013459430443
12965002,"0x1dd0c7cbf5b420648fe37edcdc64cbe30842e3b2",75527202610964,1.0,75527202610964
12965002,"0x1e4b57b62682062355ed435380338a1266d415ac",87674270801143,1.0,87674270801143
12965002,"0x1f9840a85d5af5bf1d1762f925bdaddc4201f984",59535693003787,1.0,59535693003787
12965002,"0x221738f73fa4bfca91918e77d112b87d918c751f",122932278293045,1.0,122932278293045
12965002,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599",62765125030179,1.0,62765125030179
12965002,"0x286bda1413a2df81731d4930ce2f862a35a609fe",63018215314379,1.0,63018215314379
12965002,"0x2a7084870bb724175a3c96da8faa55128fa3e19d",123999053840948,1.0,123999053840948
12965002,"0x2ac34f8327aced80cfc04085972ee06be72a45bb",174877793673674,1.0,174877793673674
12965002,"0x2b591e99afe9f32eaa6214f7b7629768c40eeb39",118109642927614,2.0,118109642927614
12965002,"0x2c8652acbaba3d398952bd291b0baf29ba6f0ae8",217946167335988,2.0,217946167335988
12965002,"0x34d859a5e6e9067fb63606fa6ad19bfae3a3996e",68086348255484,1.0,68086348255484
12965002,"0x3506424f91fd33084466f402d5d97f05f8e3b4af",41070225868555,1.0,41070225868555
