"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price","base_fee_sum_256"
"0x60afc39a01febadff772326fbabbb67fc4809da3eda6ba05e2ad11bba3ef5957",12965071,"2021-08-05 14:51:46+02",7402737965414717,17380920280220996,0.0,0.0,455285,38175912407,2576.21203,17380920280220995
"0xa6a10c4198cbb2a25ba24b40e60c6a6b1fd05ba7ed75542a529ead22e5c36611",12965072,"2021-08-05 14:51:49+02",207772244660502400,846588884057551740,0.0,33819749392464000,25232641,33551338683,2576.21203,846588884057551803
"0xa69ba05b349e3b48899152450c9b826f6731fc0b0d6915c178c0d92e08c96cb5",12965073,"2021-08-05 14:51:51+02",159146520270692672,382981610857378180,0.0,10744152760908000,10479802,36544737282,2576.21203,382981610857378164
"0xd82e8219dc3d1ea7fd7bd0ecdbdd10e75679765e9bad81dd0febf89bcc153177",12965074,"2021-08-05 14:52:04+02",15080086952790002,33797676996607592,0.0,2959423823076000,959310,35231235989,2575.388116358,33797676996607590
"0x20bcb4dee5aaaa2e31595cb5213684aea01c601189d5938c7d62533522a85608",12965075,"2021-08-05 14:52:05+02",273127804569823904,915262272977891710,48031179110452128,37897858134990000,29415632,31114826055,2575.388116358,915262272977891760
"0xbab4e7dde9a41b3a07e717bd54626428ced700631859d7260904fc8c9d00a479",12965076,"2021-08-05 14:52:13+02",176297808471317728,475274101087721280,0.0,14701432364640000,13577937,35003410392,2575.388116358,475274101087721304
"0x135141daa2981cefb97a8ef2f63b9401349415877b76b695028b4a1145437f40",12965077,"2021-08-05 14:52:27+02",149592204433427680,454772270090671230,0.0,16742201616315000,13119840,34662943305,2575.388116358,454772270090671200
"0x0fd948857a27056ba380f2bf0d57875294a00b3554e30bb20e6681b1a4e8913d",12965078,"2021-08-05 14:52:42+02",90096490761648512,314971187695150720,0.0,10771347226500000,9211097,34194753100,2575.388116358,314971187695150700
"0x19012e2f3ae1cfcc64b8f1ef11823c9e0a78a9245a4290f66ac5fb808dfadaea",12965079,"2021-08-05 14:52:49+02",172335308877036256,958392013970333570,0.0,41753476040031000,29403544,32594438751,2575.388116358,958392013970333544
"0x2d87eb0c7e5382bf75589530e3ce9c3170660ac7408599cf4053005806239fa3",12965080,"2021-08-05 14:52:58+02",77214784796020512,193910994934720800,0.0,6929610415308000,5288779,36664605372,2575.388116358,193910994934720788
"0x720c013da835c6d3bd44c3df71f43733bc739d3e51d788229c215cf2a12daa58",12965081,"2021-08-05 14:53:07+02",284694280123346848,491425900772210500,0.0,12750320818368000,14568966,33731007456,2583.368721778,491425900772210496
"0xe570731858d72cfff2f917df48fad9cc7f402b3f1b4491363c3fd8df7f42e285",12965082,"2021-08-05 14:53:30+02",89184116089590848,733261959183512960,0.0,20522670044310000,21759183,33698965590,2583.368721778,733261959183512970
"0x4302cd88f2bb394e5ec8da47f7e4f7cc8f2c5070139e1d70684b3ee3fbd82dbe",12965083,"2021-08-05 14:53:34+02",63981331165098064,165651378437323136,0.0,6751835036667000,4636978,35723994903,2583.368721778,165651378437323134
"0xa2c2564b813fc63da09d09dd6e6b96e1d4cfe61753792f7d8060f872f8f6ec28",12965084,"2021-08-05 14:53:39+02",72853982687186816,436082874189279100,0.0,12347828641008000,13349661,32666213336,2583.368721778,436082874189279096
"0x3f587dbf6445a7106d9daad3ab7ddaf836e6b5a074660caeda46eacf3e5d6ba3",12965085,"2021-08-05 14:53:43+02",206290491701680160,724059761191135230,0.0,20344227092910000,22421970,32292423957,2583.368721778,724059761191135290
"0xd7d3e4e5755984120f2e8da2f7604e5d5708bb6d63162b87232b178239847ef4",12965086,"2021-08-05 14:53:59+02",190254319274188096,671334447002854400,0.0,25290608229180000,19510437,34408990788,2583.368721778,671334447002854356
"0x8e8f079c04b15ae3cb2e777f7eda944e27a4da0eec358cb61f83d5b00063d9bf",12965087,"2021-08-05 14:54:15+02",9512508127068500,34022810466044296,0.0,3008753940444000,949867,35818499291,2583.38478122,34022810466044297
"0x343f9e0d35ddffdd7ea6c802fe3512e038924c061eb4ee0207fa4442e9593a51",12965088,"2021-08-05 14:54:16+02",53987470876955312,565420249554733380,0.0,8635230523101000,17875577,31630881037,2583.38478122,565420249554733349
"0x0cbfe99a5dc018b428039807e1e00fd5b027efa164e5fb7217e68ef2ef2bc101",12965089,"2021-08-05 14:54:20+02",181608901818646464,236837162825908000,0.0,8871438827979000,7288169,32496112923,2583.38478122,236837162825907987
"0x981f5c7ecedfc1c801b8b8a136dd2d6b00aba5ce2814800ac2678dfe21df189b",12965090,"2021-08-05 14:54:46+02",299189322350334400,893048673787728380,0.0,24942351238623000,29323894,30454641317,2583.38478122,893048673787728398
"0xaa5c6cd0983d78d67906978a7ff29f07621b67419e0102196d71b66c80a6de56",12965091,"2021-08-05 14:55:07+02",135630718773796112,330303639701288640,0.0,12230568785526000,9641285,34259296318,2583.031504966,330303639701288630
"0xca9ecf5438d49e69c161a53bb7a4f3a72820278a980fb6073b311f926b743662",12965092,"2021-08-05 14:55:15+02",222162532227395328,215382213140045024,0.0,11707752671727000,6567567,32794825411,2583.031504966,215382213140045037
"0xdbab862f80ab106dec27be2832cc294323b7bd0334b09a106a81555918ea85b5",12965093,"2021-08-05 14:55:33+02",364838096373778940,892693334668746620,0.0,30779050976352000,29235303,30534772794,2583.031504966,892693334668746582
"0xb23e7283f57c3c20b6b528fffdf23aa9d67b7da4b5d2e09644e929721603ce45",12965094,"2021-08-05 14:55:53+02",26091480359897480,95845555464527904,0.0,2163969051489000,2790368,34348715103,2583.031504966,95845555464527904
"0x04614d28e33ce4d49097f21251fe7637ae69a48691c8936bb0a19fdcfc20bcac",12965095,"2021-08-05 14:55:56+02",171653461339841312,900745961066370560,0.0,17506249365213000,29173751,30875219339,2583.031504966,900745961066370589
"0xcb741e90aaef92fd435785ea21c84c8e505bf5e6ca82ee36169ee8dca8fc3330",12965096,"2021-08-05 14:55:58+02",82478604972445936,118558569928506960,0.0,6564064489038000,3413673,34730499942,2583.031504966,118558569928506966
"0xae8eb8ae40c0bb959ec77d4f99f7f0e64a1b24afa9691673662c5e4dee5a2df0",12965097,"2021-08-05 14:56:02+02",318383035641786110,335767828847506690,0.0,19124806925259000,10692009,31403623851,2584.6458815,335767828847506659
"0xc176145df73095d882b47ab68b1f89f09142e5ae26acf7597f2a49f525d157a6",12965098,"2021-08-05 14:56:46+02",257046852557025952,884684033882035200,0.0,17848121566296000,29145600,30353948242,2584.6458815,884684033882035200
"0xe16ede82a6d070558cdb5ab343a4486c43feda71f4e0792e59c156f9eb334371",12965099,"2021-08-05 14:56:58+02",264790504244248480,968659135202076290,0.0,29398186102530000,28369625,34144234730,2584.6458815,968659135202076250
"0x2ad4006369a6753203011a5ca362ce6200db0737b4ba910d7ef6afa2a7eb2d48",12965100,"2021-08-05 14:57:16+02",653297853083349120,759414210105368190,0.0,28056835363935000,19894241,38172565121,2587.87099669,759414210105368161
"0x40da18c7923310e70079a42c82b415b2307f2ba0b5b59d9492a0a88933874fe3",12965101,"2021-08-05 14:57:43+02",777256583423927300,1162401153181043200,0.0,40230866194848000,29124413,39911573606,2587.87099669,1162401153181043278
"0x98a2ea6ac70f8fd8feb5615aef843d3188b8e1734fc2d3366423ef2b7704e073",12965102,"2021-08-05 14:58:50+02",0.0,0.0,0.0,0.0,0,44897818302,2604.582183621,0
"0xf0146f19407807d377c09ebfd5494c71aa6165bc7bc7d0844e6130244a7d25f2",12965103,"2021-08-05 14:58:51+02",22183566242253336,152604053300356192,0.0,7424976701835000,3884479,39285591015,2604.582183621,152604053300356185
"0x779b75e73c53c1d22b3f8792992bf75be8f19b7cb477df6538c8f7a03a737fd8",12965104,"2021-08-05 14:58:52+02",334673926698854020,1038231907643463680,0.0,16486225651434000,29094782,35684471107,2604.582183621,1038231907643463674
