"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0xf8c464e83c899e8c35f2492b706435e932960ac2fbc462ad086495333c21b454",13666615,"2021-11-22 20:29:42+00",1.04012390485634E+17,2.2801394502398769E+18,0,1.7581147654870778E+17,14162399,160999520649,4076.65523413
"0x48def68b740f505b31a0ecbe4c8c458e8d08e3c586a39e627fb9ece2638dd055",13666616,"2021-11-22 20:29:48+00",1.6255953625894957E+17,1.27128844461619E+18,0,1.1752238853862509E+17,7950800,159894406175,4076.65523413
"0x303ad696e4f004d2a6d3a398148df4c824ca5d405d612cebd828858d78eb55fd",13666617,"2021-11-22 20:29:56+00",31157888912870416,5.3440360879677197E+17,0,4.4253599596164E+16,3550325,150522447606,4076.65523413
"0xeefeb3d35340a13ace5b11fc7c1c91d7a5d177510a7e75184c38316a9a2c867d",13666618,"2021-11-22 20:29:58+00",4.2712563334199123E+17,3.28832647811911E+18,1.3986374458748907E+17,3.4029776849567085E+17,24148051,136173576829,4076.65523413
"0x63aa50eab23ca03e2fb7c4dd5817b238504e99def7a1faa3403615f2a542b1fb",13666619,"2021-11-22 20:30:21+00",9.829840984427646E+16,1.0816317956462972E+18,0,1.385954941959E+17,7375002,146661898620,4076.65523413
"0x9f1e590c7cb8e54baf204bcf1fdbdfb86c2e9b2d185ee9b150ba845a9a6f672b",13666620,"2021-11-22 20:30:28+00",5.5526356272310566E+17,3.842768785473352E+18,0,5.07716658874658E+17,27974015,137369225886,4076.65523413
"0x585ab80ea8e24d693121160ea22ef044c3be6bcc2383fe106a55c5081030444d",13666621,"2021-11-22 20:30:48+00",6.172406684114971E+17,4.149985360469752E+18,0,4.733954607703424E+17,27246046,152315141818,4076.65523413
"0x05adf1806a98413c20f2921a1ad86d54a454904ce4b9673755145a3c24eb5977",13666622,"2021-11-22 20:31:26+00",1.8716163638362717E+17,3.3966731719675044E+18,0,2.7864642146697347E+17,20223051,167960471047,4076.65523413
"0xad66b710d57779fe142482c90a4445214199ae9cec4701cb0b2507e09ea9caf9",13666623,"2021-11-22 20:31:41+00",8.139138224743998E+16,8.736048632012047E+17,0,2.3935835493024E+17,4981947,175354106176,4076.65523413
"0x2b6a51f3edb11433a96c0cbb73cb4a3b5d04ad1c2e50002da591b56ec8037880",13666624,"2021-11-22 20:31:46+00",4.398809103915437E+16,2.438940130839121E+18,0,1.21511221654032E+17,15174226,160729129172,4076.65523413
