"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x7e888cab5e57336223c7d63baedfa66f91c0c0f5d200f51332be2a92632db2e2",13660509,"2021-11-21 21:18:21+00",1.1656453616938222e+18,1.651179335696177e+17,0,2916632618697000.0,1188863,138887267557,4373.11470825
"0x40fa095159ccdd15d3b44802beff6702a82bab796019e1929a3e458a0c636688",13660510,"2021-11-21 21:18:38+00",6.828499514473912e+17,3.6829945693281444e+18,0,4.129518687604805e+17,29966838,122902341893,4373.11470825
"0x545c35ce2fa7bfa69bbafe9f20cd13081526339ff0579b2abd445b47de19f569",13660511,"2021-11-21 21:18:56+00",7.006676305238326e+16,2.498523570979469e+18,0,1.5969165279952525e+17,18071043,138261171255,4373.11470825
"0x3bd98bcc0309a312c0cda9148ad9b9774b4749f87e8adebc05bc651fb7178f08",13660512,"2021-11-21 21:18:59+00",2.7202408430075412e+16,4.1290915743521894e+17,0,4.4666865822285e+16,2911921,141799574039,4373.11470825
"0x9dd6d28406006259b91310bdf04369043a51d84b4151c5646bd248b2ea789388",13660513,"2021-11-21 21:19:02+00",3.4672281005920115e+17,3.81196371886199e+18,0,2.945531438364906e+17,29894898,127512183479,4373.11470825
"0x04f95892c0236c95aec00a6025853f49a5ad0d4e094518018a73873a55aa5ddc",13660514,"2021-11-21 21:19:32+00",2.7467361282550627e+17,3.212107539484718e+18,0,2.0769906052406736e+17,22409075,143339586283,4373.11470825
"0x974eb311ed08e69ea71373479270fa0c05842e0b74af7d2a4a818a3db78bb9bf",13660515,"2021-11-21 21:20:04+00",2.4533097961344288e+17,3.502292169792955e+18,0,2.5891927287445747e+17,23008712,152215915858,4373.11470825
"0xd394c12fc81ab1735a835456dfbd11491728a11bec02eea79f3507c662ca1f41",13660516,"2021-11-21 21:20:12+00",2.9294097107608116e+16,8.520467490915771e+17,0,9.550991903938797e+16,5245565,162431835101,4373.11470825
"0x91557d870c3d18de225616ea65d9f115668240a5d03a2ec10f0d9259ab8764cf",13660517,"2021-11-21 21:20:21+00",1.665231891389668e+17,2.5861589705881324e+18,0,2.1310787449501165e+17,17329416,149235206229,4373.11470825
"0xa1cfb6276d21b42d07ad282dcc33bb88e35c8a78ad266a29d5fb253de53904b3",13660518,"2021-11-21 21:20:36+00",1.2758717207525053e+17,1.2586295872680632e+18,0,1.3741343275209885e+17,8270971,152174344133,4373.11470825
"0xd46908f311ea7ce815c83397f9d6eaad3e4b6c486719b5693ad4bdd853bc9be9",13660519,"2021-11-21 21:20:44+00",2.309178780223363e+17,2.445813013481962e+18,0,4.0725178535317536e+17,17026027,143651423405,4373.11470825
"0x5e9330800a6697cfe41aa2d6983b06f5a285b2ef7b30ac325f2873f8dcc4249f",13660520,"2021-11-21 21:21:18+00",2.283012160780536e+17,4.0634596897048827e+18,0,3.25167109111824e+17,27817270,146076868424,4373.11470825
"0x9520b2e71c0975f4c6385b9a32b23847b820ba28ff378591b08a44dd9cb548e5",13660521,"2021-11-21 21:21:42+00",1.169230804364393e+17,2.52423116231524e+18,3.712759404577818e+17,2.2408768159608634e+17,15612569,161679423951,4373.11470825
"0x7de755213a1ac1bb5a5dad2f83fcc263dacfbc00ecbce397eca0382ad2ba8710",13660522,"2021-11-21 21:21:49+00",1.6763994342479952e+16,4.1763770951677696e+17,0,3.0713398816527e+16,2570003,162504755643,4373.11470825
"0x635c46852c957a3c45f4a47ade783f15224e014f2a449db9b034b03e3a5a398c",13660523,"2021-11-21 21:21:52+00",8.083717232967514e+16,1.2218143709462472e+18,0,1.13187124912218e+17,8387436,145671975434,4373.11470825
"0x5d0e38fafdc887e7a9db5b7f4330277365e21e45fde8e5abd7e90991a7898306",13660524,"2021-11-21 21:21:59+00",3.310607882843447e+17,2.664540022833314e+18,5.0911274841624794e+17,1.7343240381179987e+17,19358092,137644764930,4373.11470825
"0x6e22bcdd1891a2e7ff7812b2ce13259af3d2bed94d2581106a4f9efbcf99e86c",13660525,"2021-11-21 21:22:07+00",3.198496298076919e+16,3.713829212541988e+17,0,4.1937238834176e+16,2603571,142643669504,4373.09895277
